hisse,pp_fark,lot_fark,donem,yukleme
THYAO,1.45,,2026_01,2026-04-18 13:52
TUPRS,3.57,,2026_01,2026-04-18 13:52
SASA,-1.06,,2026_01,2026-04-18 13:52
ASELS,-0.65,,2026_01,2026-04-18 13:52
ISCTR,3.33,,2026_01,2026-04-18 13:52
SISE,1.81,,2026_01,2026-04-18 13:52
HEKTS,1.81,,2026_01,2026-04-18 13:52
EREGL,4.77,,2026_01,2026-04-18 13:52
PGSUS,-2.78,,2026_01,2026-04-18 13:52
ALTNY,4.07,,2026_01,2026-04-18 13:52
REEDR,-0.08,2.211,2026_01,2026-04-18 13:52
KCHOL,3.39,,2026_01,2026-04-18 13:52
KONTR,-3.95,,2026_01,2026-04-18 13:52
FROTO,3.03,,2026_01,2026-04-18 13:52
ASTOR,4.32,,2026_01,2026-04-18 13:52
CWENE,5.6,,2026_01,2026-04-18 13:52
PATEK,-8.17,,2026_01,2026-04-18 13:52
TABGD,0.41,217.289,2026_01,2026-04-18 13:52
IZENR,-0.92,,2026_01,2026-04-18 13:52
ZOREN,2.4,,2026_01,2026-04-18 13:52
CANTE,0.58,,2026_01,2026-04-18 13:52
ENERY,0.86,,2026_01,2026-04-18 13:52
DOAS,6.31,,2026_01,2026-04-18 13:52
OBAMS,-0.12,,2026_01,2026-04-18 13:52
PETKM,3.38,,2026_01,2026-04-18 13:52
ENJSA,1.6,,2026_01,2026-04-18 13:52
AKBNK,1.84,,2026_01,2026-04-18 13:52
SAHOL,2.17,,2026_01,2026-04-18 13:52
TCELL,0.57,,2026_01,2026-04-18 13:52
KCAER,-2.54,,2026_01,2026-04-18 13:52
MIATK,0.96,,2026_01,2026-04-18 13:52
EUPWR,3.68,,2026_01,2026-04-18 13:52
BIMAS,0.84,,2026_01,2026-04-18 13:52
YKBNK,1.17,,2026_01,2026-04-18 13:52
OYAKC,0.34,,2026_01,2026-04-18 13:52
TTRAK,2.13,529.602,2026_01,2026-04-18 13:52
TOASO,4.52,,2026_01,2026-04-18 13:52
TUKAS,1.03,,2026_01,2026-04-18 13:52
ENKAI,0.69,,2026_01,2026-04-18 13:52
GARAN,1.18,,2026_01,2026-04-18 13:52
KRDMD,4.08,,2026_01,2026-04-18 13:52
MGROS,0.63,613.936,2026_01,2026-04-18 13:52
TRALT,4.23,,2026_01,2026-04-18 13:52
AEFES,5.82,,2026_01,2026-04-18 13:52
GSRAY,0.49,,2026_01,2026-04-18 13:52
ISMEN,-0.38,,2026_01,2026-04-18 13:52
AKSA,0.8,,2026_01,2026-04-18 13:52
ODAS,2.14,,2026_01,2026-04-18 13:52
TSPOR,0.53,,2026_01,2026-04-18 13:52
YEOTK,0.26,418.494,2026_01,2026-04-18 13:52
ALARK,3.88,,2026_01,2026-04-18 13:52
