hisse,fark,adet2,tks2,tip,donem,yukleme
SASA,483801702,2886264193,25700421137,yabanci,2026_01,2026-04-18 13:52
YKBNK,179411900,1597793768,4705235952,yabanci,2026_01,2026-04-18 13:52
ISCTR,106481506,2348020550,8880196742,yabanci,2026_01,2026-04-18 13:52
FENER,97243112,119553604,2772321026,yabanci,2026_01,2026-04-18 13:52
AKBNK,84702501,1587627624,3059020211,yabanci,2026_01,2026-04-18 13:52
EREGL,81127898,753959539,3554238535,yabanci,2026_01,2026-04-18 13:52
KAYSE,59062228,77478408,814062605,yabanci,2026_01,2026-04-18 13:52
AEFES,51528056,767574231,2028860053,yabanci,2026_01,2026-04-18 13:52
TRALT,47496410,248999979,952271819,yabanci,2026_01,2026-04-18 13:52
ZOREN,46092497,280462455,2681244172,yabanci,2026_01,2026-04-18 13:52
PETKM,43689167,122359468,1241736844,yabanci,2026_01,2026-04-18 13:52
GMTAS,40033694,75847227,298687813,yabanci,2026_01,2026-04-18 13:52
SMRTG,37582683,54106185,664164672,yabanci,2026_01,2026-04-18 13:52
HEKTS,37105786,389179675,3946474643,yabanci,2026_01,2026-04-18 13:52
ALGYO,35588467,41173788,989357377,yabanci,2026_01,2026-04-18 13:52
GLYHO,32134133,317827713,1949290631,yabanci,2026_01,2026-04-18 13:52
KCHOL,31025644,263565336,674052308,yabanci,2026_01,2026-04-18 13:52
PEKGY,30261697,397307374,4685012615,yabanci,2026_01,2026-04-18 13:52
VAKBN,30254964,183449945,8046896130,yabanci,2026_01,2026-04-18 13:52
GSRAY,28665436,111693388,10123744690,yabanci,2026_01,2026-04-18 13:52
BTCIM,27419394,337241511,4046650979,yabanci,2026_01,2026-04-18 13:52
TCELL,25839994,742173144,1622604373,yabanci,2026_01,2026-04-18 13:52
SAHOL,22380633,373533145,1142761094,yabanci,2026_01,2026-04-18 13:52
TUPRS,21024008,311953798,902334854,yabanci,2026_01,2026-04-18 13:52
FORMT,20726148,22220691,1075744232,yabanci,2026_01,2026-04-18 13:52
CANTE,20006868,287631801,6026143802,yabanci,2026_01,2026-04-18 13:52
CWENE,19344390,59476517,530758241,yabanci,2026_01,2026-04-18 13:52
ASELS,18010858,613850906,1178597817,yabanci,2026_01,2026-04-18 13:52
