hisse,fark,adet2,tks2,kurum,donem,yukleme
ADESE,325298483,558854399,4687131701,TERA,2026_01,2026-04-18 13:52
GSRAY,81506376,128593128,10123744690,TERA,2026_01,2026-04-18 13:52
MEKAG,80175854,80386533,320319999,TERA,2026_01,2026-04-18 13:52
ISKPL,29922201,233822022,724625736,TERA,2026_01,2026-04-18 13:52
SMRTG,9991064,21015805,664164672,TERA,2026_01,2026-04-18 13:52
SKBNK,8302820,9445345,2498879854,TERA,2026_01,2026-04-18 13:52
TERA,5787277,68074516,240888789,TERA,2026_01,2026-04-18 13:52
CANTE,4001324,16212154,6026143802,TERA,2026_01,2026-04-18 13:52
DSTKF,3940572,5950766,82195267,TERA,2026_01,2026-04-18 13:52
AKSEN,3866780,7554102,638545796,TERA,2026_01,2026-04-18 13:52
GATEG,3536975,3591865,10559341,TERA,2026_01,2026-04-18 13:52
KONTR,3103987,5019324,936038763,TERA,2026_01,2026-04-18 13:52
FENER,2215131,2233763,2772321026,TERA,2026_01,2026-04-18 13:52
VANGD,2191498,2281126,24374995,TERA,2026_01,2026-04-18 13:52
RALYH,1960062,11121056,176324572,TERA,2026_01,2026-04-18 13:52
CWENE,1449349,2305726,530758241,TERA,2026_01,2026-04-18 13:52
YYAPI,1425417,2298865,1705025550,TERA,2026_01,2026-04-18 13:52
KCAER,1262987,1324684,496494775,TERA,2026_01,2026-04-18 13:52
AGROT,1095440,1562821,843999770,TERA,2026_01,2026-04-18 13:52
BRKO,980336,2466227,138199447,TERA,2026_01,2026-04-18 13:52
EGEPO,848195,1188995,200000000,TERA,2026_01,2026-04-18 13:52
SELVA,803183,11221647,747897737,TERA,2026_01,2026-04-18 13:52
TSPOR,734680,11498574,3674526664,TERA,2026_01,2026-04-18 13:52
AZTEK,734148,839573,279000000,TERA,2026_01,2026-04-18 13:52
TATEN,679819,1466457,347769724,TERA,2026_01,2026-04-18 13:52
ARZUM,665856,996965,293999828,TERA,2026_01,2026-04-18 13:52
