hisse,adet2,tks2,oran,tip,donem,yukleme
SASA,2886264193,25700421137,11.23,yabanci,2026_01,2026-04-18 13:52
YKBNK,1597793768,4705235952,33.96,yabanci,2026_01,2026-04-18 13:52
ISCTR,2348020550,8880196742,26.44,yabanci,2026_01,2026-04-18 13:52
FENER,119553604,2772321026,4.31,yabanci,2026_01,2026-04-18 13:52
AKBNK,1587627624,3059020211,51.9,yabanci,2026_01,2026-04-18 13:52
EREGL,753959539,3554238535,21.21,yabanci,2026_01,2026-04-18 13:52
KAYSE,77478408,814062605,9.52,yabanci,2026_01,2026-04-18 13:52
AEFES,767574231,2028860053,37.83,yabanci,2026_01,2026-04-18 13:52
TRALT,248999979,952271819,26.15,yabanci,2026_01,2026-04-18 13:52
ZOREN,280462455,2681244172,10.46,yabanci,2026_01,2026-04-18 13:52
PETKM,122359468,1241736844,9.85,yabanci,2026_01,2026-04-18 13:52
GMTAS,75847227,298687813,25.39,yabanci,2026_01,2026-04-18 13:52
SMRTG,54106185,664164672,8.15,yabanci,2026_01,2026-04-18 13:52
HEKTS,389179675,3946474643,9.86,yabanci,2026_01,2026-04-18 13:52
ALGYO,41173788,989357377,4.16,yabanci,2026_01,2026-04-18 13:52
GLYHO,317827713,1949290631,16.3,yabanci,2026_01,2026-04-18 13:52
KCHOL,263565336,674052308,39.1,yabanci,2026_01,2026-04-18 13:52
PEKGY,397307374,4685012615,8.48,yabanci,2026_01,2026-04-18 13:52
VAKBN,183449945,8046896130,2.28,yabanci,2026_01,2026-04-18 13:52
GSRAY,111693388,10123744690,1.1,yabanci,2026_01,2026-04-18 13:52
BTCIM,337241511,4046650979,8.33,yabanci,2026_01,2026-04-18 13:52
TCELL,742173144,1622604373,45.74,yabanci,2026_01,2026-04-18 13:52
SAHOL,373533145,1142761094,32.69,yabanci,2026_01,2026-04-18 13:52
TUPRS,311953798,902334854,34.57,yabanci,2026_01,2026-04-18 13:52
FORMT,22220691,1075744232,2.07,yabanci,2026_01,2026-04-18 13:52
