hisse,kurum,ilk_tarih,ilk_fiyat,ilk_oran,son_tarih,son_fiyat,son_oran,durum
ARFYE,BANK-OF-AMERICA YATIRIM BANK,26.04.2026,34.42,6.06,20260512,0.0,8.29,🎯 BİNGO!
ARFYE,CITIBANK YABANCI N.A,26.04.2026,34.42,5.01,20260512,0.0,4.71,📈 TAKİPTE
ARFYE,INFO YATIRIM MENKUL,26.04.2026,34.42,4.11,20260512,0.0,4.03,📈 TAKİPTE
EMPAE,YATIRIM FONLARI,26.04.2026,41.4,3.29,20260512,0.0,4.26,📈 TAKİPTE
UCAYM,DESTEK YATIRIM MENKUL,26.04.2026,28.84,8.75,20260512,0.0,0.02,⚪ KAPANDI
UCAYM,INFO YATIRIM MENKUL,26.04.2026,28.84,3.87,20260512,0.0,3.58,📈 TAKİPTE
ZGYO,CITIBANK YABANCI N.A,26.04.2026,30.72,39.02,20260512,0.0,40.82,🎯 BİNGO!
AKHAN,YATIRIM FONLARI,26.04.2026,27.84,4.0,20260512,0.0,4.8,📈 TAKİPTE
AKHAN,A1 CAPITAL MENKUL DEGERLER,27.04.2026,28.64,3.03,20260512,0.0,2.88,⚪ KAPANDI
AKHAN,BANK-OF-AMERICA YATIRIM BANK,28.04.2026,28.38,3.31,20260512,0.0,7.37,🎯 BİNGO!
NETCD,INFO YATIRIM MENKUL,26.04.2026,135.6,4.48,20260512,0.0,5.22,🎯 BİNGO!
NETCD,YATIRIM FONLARI,26.04.2026,135.6,4.27,20260512,0.0,5.35,🎯 BİNGO!
MCARD,YATIRIM FONLARI,26.04.2026,170.2,4.11,20260512,0.0,5.15,🎯 BİNGO!
KLYPV,CITIBANK YABANCI N.A,26.04.2026,60.0,6.01,20260512,0.0,6.28,🎯 BİNGO!
KLYPV,YATIRIM FONLARI,26.04.2026,60.0,7.86,20260512,0.0,7.58,🎯 BİNGO!
ARFYE,IS YATIRIM,26.04.2026,34.42,13.03,20260512,0.0,11.26,🎯 BİNGO!
ARFYE,YAPI KREDI YAT.,26.04.2026,34.42,4.68,20260512,0.0,3.8,📈 TAKİPTE
ARFYE,AK YATIRIM,26.04.2026,34.42,3.74,20260512,0.0,3.23,📈 TAKİPTE
ARFYE,MIDAS MENKUL,26.04.2026,34.42,3.61,20260512,0.0,3.89,📈 TAKİPTE
ARFYE,HALK YATIRIM,26.04.2026,34.42,4.13,20260512,0.0,4.58,📈 TAKİPTE
ARFYE,GARANTI BBVA,26.04.2026,34.42,7.11,20260512,0.0,7.69,🎯 BİNGO!
ARFYE,VAKIF YAT.,26.04.2026,34.42,8.06,20260512,0.0,8.0,🎯 BİNGO!
ARFYE,ZIRAAT YAT.,26.04.2026,34.42,8.75,20260512,0.0,7.78,🎯 BİNGO!
EMPAE,IS YATIRIM,26.04.2026,41.4,12.65,20260512,0.0,8.24,🎯 BİNGO!
EMPAE,ZIRAAT YAT.,26.04.2026,41.4,11.55,20260512,0.0,8.78,🎯 BİNGO!
EMPAE,VAKIF YAT.,26.04.2026,41.4,10.05,20260512,0.0,12.66,🎯 BİNGO!
EMPAE,GARANTI BBVA,26.04.2026,41.4,7.51,20260512,0.0,5.69,🎯 BİNGO!
EMPAE,YAPI KREDI YAT.,26.04.2026,41.4,6.52,20260512,0.0,6.94,🎯 BİNGO!
EMPAE,HALK YATIRIM,26.04.2026,41.4,5.97,20260512,0.0,4.37,📈 TAKİPTE
EMPAE,TACIRLER YAT.,26.04.2026,41.4,4.23,20260512,0.0,3.11,📈 TAKİPTE
EMPAE,MIDAS MENKUL,26.04.2026,41.4,4.01,20260512,0.0,2.76,⚪ KAPANDI
EMPAE,AK YATIRIM,26.04.2026,41.4,3.76,20260512,0.0,2.93,⚪ KAPANDI
