hisse,pp_fark,lot_fark,donem,yukleme
THYAO,1.96,,2026_01_01,2026-04-18 16:38
TUPRS,1.52,,2026_01_01,2026-04-18 16:38
SASA,-2.42,,2026_01_01,2026-04-18 16:38
ASELS,0.38,,2026_01_01,2026-04-18 16:38
SISE,0.52,,2026_01_01,2026-04-18 16:38
ISCTR,0.06,,2026_01_01,2026-04-18 16:38
HEKTS,-0.04,,2026_01_01,2026-04-18 16:38
EREGL,0.72,,2026_01_01,2026-04-18 16:38
PGSUS,3.36,,2026_01_01,2026-04-18 16:38
REEDR,0.2,,2026_01_01,2026-04-18 16:38
ALTNY,1.36,,2026_01_01,2026-04-18 16:38
KCHOL,2.11,,2026_01_01,2026-04-18 16:38
KONTR,-4.6,,2026_01_01,2026-04-18 16:38
FROTO,1.1,,2026_01_01,2026-04-18 16:38
ASTOR,1.99,,2026_01_01,2026-04-18 16:38
CWENE,0.58,,2026_01_01,2026-04-18 16:38
TABGD,0.74,392.244,2026_01_01,2026-04-18 16:38
PATEK,-1.34,,2026_01_01,2026-04-18 16:38
IZENR,-0.07,-705.258,2026_01_01,2026-04-18 16:38
ZOREN,0.13,,2026_01_01,2026-04-18 16:38
DOAS,1.83,,2026_01_01,2026-04-18 16:38
ENERY,0.45,,2026_01_01,2026-04-18 16:38
CANTE,-0.05,,2026_01_01,2026-04-18 16:38
OBAMS,0.15,,2026_01_01,2026-04-18 16:38
PETKM,0.05,647.883,2026_01_01,2026-04-18 16:38
ENJSA,0.38,899.4,2026_01_01,2026-04-18 16:38
AKBNK,0.07,,2026_01_01,2026-04-18 16:38
SAHOL,0.57,,2026_01_01,2026-04-18 16:38
TCELL,0.36,,2026_01_01,2026-04-18 16:38
KCAER,-0.81,,2026_01_01,2026-04-18 16:38
MIATK,-0.06,-186.227,2026_01_01,2026-04-18 16:38
EUPWR,1.07,,2026_01_01,2026-04-18 16:38
YKBNK,-0.49,,2026_01_01,2026-04-18 16:38
OYAKC,0.0,-228.208,2026_01_01,2026-04-18 16:38
BIMAS,0.92,,2026_01_01,2026-04-18 16:38
TTRAK,0.99,247.457,2026_01_01,2026-04-18 16:38
TOASO,1.73,,2026_01_01,2026-04-18 16:38
TUKAS,0.86,,2026_01_01,2026-04-18 16:38
GARAN,-0.27,,2026_01_01,2026-04-18 16:38
KRDMD,1.02,,2026_01_01,2026-04-18 16:38
ENKAI,0.47,,2026_01_01,2026-04-18 16:38
AEFES,1.24,,2026_01_01,2026-04-18 16:38
GSRAY,0.07,,2026_01_01,2026-04-18 16:38
MGROS,1.48,,2026_01_01,2026-04-18 16:38
ISMEN,0.83,,2026_01_01,2026-04-18 16:38
TSPOR,-0.11,,2026_01_01,2026-04-18 16:38
ODAS,1.24,,2026_01_01,2026-04-18 16:38
AKSA,0.06,809.914,2026_01_01,2026-04-18 16:38
ALARK,0.28,455.077,2026_01_01,2026-04-18 16:38
GESAN,1.46,,2026_01_01,2026-04-18 16:38
TRALT,0.0,-17.311,2026_01_01,2026-04-18 16:38
YEOTK,0.72,,2026_01_01,2026-04-18 16:38
MAVI,0.45,,2026_01_01,2026-04-18 16:38
ARCLK,1.37,,2026_01_01,2026-04-18 16:38
EKGYO,1.49,,2026_01_01,2026-04-18 16:38
FENER,-1.93,,2026_01_01,2026-04-18 16:38
TTKOM,0.51,,2026_01_01,2026-04-18 16:38
CIMSA,-0.89,,2026_01_01,2026-04-18 16:38
TAVHL,0.13,261.013,2026_01_01,2026-04-18 16:38
ULKER,0.98,,2026_01_01,2026-04-18 16:38
