hisse,yab_fark,tks2,donem,yukleme
SASA,578225983,25700421849,2026_01_01,2026-04-18 16:38
KAYSE,60113173,814062609,2026_01_01,2026-04-18 16:38
PEKGY,34435386,4685237615,2026_01_01,2026-04-18 16:38
FENER,30571594,1165336432,2026_01_01,2026-04-18 16:38
EUREN,28895492,1040132637,2026_01_01,2026-04-18 16:38
HEKTS,27336162,3946474643,2026_01_01,2026-04-18 16:38
HLGYO,19165722,1075198536,2026_01_01,2026-04-18 16:38
VAKFN,19149721,2064378145,2026_01_01,2026-04-18 16:38
ADESE,19110412,4687131701,2026_01_01,2026-04-18 16:38
AKFGY,17886944,3457819315,2026_01_01,2026-04-18 16:38
BJKAS,17518683,1339632796,2026_01_01,2026-04-18 16:38
AGROT,15721155,843999770,2026_01_01,2026-04-18 16:38
SAHOL,15575852,1142761094,2026_01_01,2026-04-18 16:38
TCELL,14808695,1622604373,2026_01_01,2026-04-18 16:38
BORLS,14148652,308652686,2026_01_01,2026-04-18 16:38
TUPRS,12312639,902334854,2026_01_01,2026-04-18 16:38
KCHOL,11660041,674052132,2026_01_01,2026-04-18 16:38
ESEN,11635252,682499950,2026_01_01,2026-04-18 16:38
TRALT,11491055,960749878,2026_01_01,2026-04-18 16:38
DMRGD,10001287,1277294592,2026_01_01,2026-04-18 16:38
EREGL,9802427,3554231816,2026_01_01,2026-04-18 16:38
TSKB,9007521,1516591673,2026_01_01,2026-04-18 16:38
MAVI,8435733,576779312,2026_01_01,2026-04-18 16:38
ASELS,7695075,1178597817,2026_01_01,2026-04-18 16:38
FROTO,7312116,625120847,2026_01_01,2026-04-18 16:38
QUAGR,7096392,1773200000,2026_01_01,2026-04-18 16:38
DOHOL,6254579,984709460,2026_01_01,2026-04-18 16:38
DAPGM,5098681,928276145,2026_01_01,2026-04-18 16:38
SRVGY,4854465,812499687,2026_01_01,2026-04-18 16:38
ALBRK,4435906,1050478429,2026_01_01,2026-04-18 16:38
ODAS,4109126,1113798031,2026_01_01,2026-04-18 16:38
AHSGY,4107470,184999889,2026_01_01,2026-04-18 16:38
GLYHO,4059766,1949290631,2026_01_01,2026-04-18 16:38
ZOREN,3965385,2681244194,2026_01_01,2026-04-18 16:38
CWENE,3682541,530759984,2026_01_01,2026-04-18 16:38
TSPOR,3618115,3674526725,2026_01_01,2026-04-18 16:38
TUREX,3609030,432000000,2026_01_01,2026-04-18 16:38
RYSAS,3489171,1504020937,2026_01_01,2026-04-18 16:38
ECOGR,3437566,110000000,2026_01_01,2026-04-18 16:38
ASTOR,3335940,366896261,2026_01_01,2026-04-18 16:38
THYAO,3205810,739464752,2026_01_01,2026-04-18 16:38
YYAPI,3104267,1705025550,2026_01_01,2026-04-18 16:38
SARKY,3007510,999999671,2026_01_01,2026-04-18 16:38
RYGYO,2860434,770588057,2026_01_01,2026-04-18 16:38
HUNER,2855057,670137934,2026_01_01,2026-04-18 16:38
TUCLK,2746757,230681400,2026_01_01,2026-04-18 16:38
AEFES,2735440,2028860053,2026_01_01,2026-04-18 16:38
PETKM,2650307,1241796844,2026_01_01,2026-04-18 16:38
CONSE,2605121,377854899,2026_01_01,2026-04-18 16:38
PGSUS,2573222,245068871,2026_01_01,2026-04-18 16:38
IHGZT,2491550,570666229,2026_01_01,2026-04-18 16:38
