hisse,fark,adet2,tks2,kurum,donem,yukleme
ADESE,328337078,561892994,4687131701,TERA,2026_01_01,2026-04-18 16:38
PEKGY,107794000,450806976,4685237615,TERA,2026_01_01,2026-04-18 16:38
ISKPL,32134727,236034548,724625736,TERA,2026_01_01,2026-04-18 16:38
TEHOL,14384914,679557234,1995839246,TERA,2026_01_01,2026-04-18 16:38
BTCIM,7978698,15865941,4046621813,TERA,2026_01_01,2026-04-18 16:38
MEYSU,4654831,4654831,175000000,TERA,2026_01_01,2026-04-18 16:38
SMRVA,3920194,10778451,28000000,TERA,2026_01_01,2026-04-18 16:38
AKSEN,3912298,7599620,638545796,TERA,2026_01_01,2026-04-18 16:38
DSTKF,3217667,5227861,83333333,TERA,2026_01_01,2026-04-18 16:38
KONTR,3168538,5083875,936041131,TERA,2026_01_01,2026-04-18 16:38
DAPGM,2627158,8138847,928276145,TERA,2026_01_01,2026-04-18 16:38
TERA,2343628,64630867,240888789,TERA,2026_01_01,2026-04-18 16:38
ASTOR,2302569,2447128,366896261,TERA,2026_01_01,2026-04-18 16:38
KTLEV,2141712,47489578,1288500000,TERA,2026_01_01,2026-04-18 16:38
RALYH,1997321,11158315,176370973,TERA,2026_01_01,2026-04-18 16:38
TRALT,1140545,1934844,960749878,TERA,2026_01_01,2026-04-18 16:38
KRVGD,1031011,1207956,596159766,TERA,2026_01_01,2026-04-18 16:38
DOHOL,805413,15332051,984709460,TERA,2026_01_01,2026-04-18 16:38
TATEN,754743,1541381,347799724,TERA,2026_01_01,2026-04-18 16:38
AGROT,637235,1104616,843999770,TERA,2026_01_01,2026-04-18 16:38
SKBNK,519710,1662235,2498879854,TERA,2026_01_01,2026-04-18 16:38
OYAKC,494080,685951,4656879380,TERA,2026_01_01,2026-04-18 16:38
TSPOR,450845,11214739,3674526725,TERA,2026_01_01,2026-04-18 16:38
AKSA,443749,269754,1503671742,TERA,2026_01_01,2026-04-18 16:38
BRKO,405475,1891366,138199447,TERA,2026_01_01,2026-04-18 16:38
FENER,381946,400577,1165336432,TERA,2026_01_01,2026-04-18 16:38
AKGRT,378750,648333,629007625,TERA,2026_01_01,2026-04-18 16:38
TURSG,368029,623183,7907296076,TERA,2026_01_01,2026-04-18 16:38
HEKTS,351813,5035959,3946474643,TERA,2026_01_01,2026-04-18 16:38
DARDL,346907,847684,1753442695,TERA,2026_01_01,2026-04-18 16:38
YESIL,331679,459172,640699952,TERA,2026_01_01,2026-04-18 16:38
BURCE,248765,251233,44422390,TERA,2026_01_01,2026-04-18 16:38
MARMR,244168,514322,961218727,TERA,2026_01_01,2026-04-18 16:38
HLGYO,240240,968475,1075198536,TERA,2026_01_01,2026-04-18 16:38
SANFM,236012,333840,225030000,TERA,2026_01_01,2026-04-18 16:38
BMSCH,231333,329486,69277402,TERA,2026_01_01,2026-04-18 16:38
PAPIL,225342,1526424,206249994,TERA,2026_01_01,2026-04-18 16:38
GARAN,184650,974135,2454957798,TERA,2026_01_01,2026-04-18 16:38
CANTE,179527,12390357,6026334128,TERA,2026_01_01,2026-04-18 16:38
KCHOL,170656,291010,674052132,TERA,2026_01_01,2026-04-18 16:38
PETKM,169965,725568,1241796844,TERA,2026_01_01,2026-04-18 16:38
DITAS,167587,287216,57518523,TERA,2026_01_01,2026-04-18 16:38
ISFIN,166279,187356,310154523,TERA,2026_01_01,2026-04-18 16:38
RTALB,163902,571358,432976722,TERA,2026_01_01,2026-04-18 16:38
OBAMS,163395,402908,751078524,TERA,2026_01_01,2026-04-18 16:38
ODAS,161772,2670911,1113798031,TERA,2026_01_01,2026-04-18 16:38
ADGYO,158944,475532,379654367,TERA,2026_01_01,2026-04-18 16:38
KAYSE,156431,177321,814062609,TERA,2026_01_01,2026-04-18 16:38
FRIGO,147827,1118330,121449172,TERA,2026_01_01,2026-04-18 16:38
IHLAS,144911,1229632,1396079076,TERA,2026_01_01,2026-04-18 16:38
DERHL,134842,840806,197281316,TERA,2026_01_01,2026-04-18 16:38
MERKO,131163,223770,101104701,TERA,2026_01_01,2026-04-18 16:38
SNICA,121711,506315,321688856,TERA,2026_01_01,2026-04-18 16:38
REEDR,120310,922986,627278663,TERA,2026_01_01,2026-04-18 16:38
KLKIM,117144,174387,138383655,TERA,2026_01_01,2026-04-18 16:38
GUBRF,117061,141661,85359737,TERA,2026_01_01,2026-04-18 16:38
TAVHL,116547,134289,213213415,TERA,2026_01_01,2026-04-18 16:38
BSOKE,114366,1382353,458473127,TERA,2026_01_01,2026-04-18 16:38
BIMAS,114063,103462,436214016,TERA,2026_01_01,2026-04-18 16:38
HRKET,113989,131379,24000000,TERA,2026_01_01,2026-04-18 16:38
RUZYE,108501,1470847,267748491,TERA,2026_01_01,2026-04-18 16:38
PNSUT,106198,3435871,128323851,TERA,2026_01_01,2026-04-18 16:38
MARTI,104770,125539,590291701,TERA,2026_01_01,2026-04-18 16:38
BAYRK,102675,194146,189751123,TERA,2026_01_01,2026-04-18 16:38
SAHOL,101613,224686,1142761094,TERA,2026_01_01,2026-04-18 16:38
YEOTK,101197,128108,160933198,TERA,2026_01_01,2026-04-18 16:38
MNDRS,100508,383102,222007982,TERA,2026_01_01,2026-04-18 16:38
LIDER,100000,2566979,279500000,TERA,2026_01_01,2026-04-18 16:38
INDES,96302,154730,462749768,TERA,2026_01_01,2026-04-18 16:38
KARSN,94339,451246,827850973,TERA,2026_01_01,2026-04-18 16:38
TRMET,94206,130737,174484588,TERA,2026_01_01,2026-04-18 16:38
FZLGY,91821,103618,398427644,TERA,2026_01_01,2026-04-18 16:38
OFSYM,89392,185268,22749998,TERA,2026_01_01,2026-04-18 16:38
YYAPI,88783,962231,1705025550,TERA,2026_01_01,2026-04-18 16:38
ZERGY,84544,128466,156799985,TERA,2026_01_01,2026-04-18 16:38
CEMAS,82570,605385,790994290,TERA,2026_01_01,2026-04-18 16:38
MACKO,77806,123508,41500000,TERA,2026_01_01,2026-04-18 16:38
GOKNR,75862,177024,178040711,TERA,2026_01_01,2026-04-18 16:38
EUPWR,75481,233791,199610525,TERA,2026_01_01,2026-04-18 16:38
TRENJ,74993,223567,98018735,TERA,2026_01_01,2026-04-18 16:38
TUREX,74936,262519,432000000,TERA,2026_01_01,2026-04-18 16:38
PRDGS,67047,71590,110850000,TERA,2026_01_01,2026-04-18 16:38
ETYAT,63758,193347,18752248,TERA,2026_01_01,2026-04-18 16:38
IEYHO,60330,872113,541033008,TERA,2026_01_01,2026-04-18 16:38
SNPAM,60000,55300,19679871,TERA,2026_01_01,2026-04-18 16:38
MOPAS,59674,3536,57330000,TERA,2026_01_01,2026-04-18 16:38
OZRDN,58235,122902,57107579,TERA,2026_01_01,2026-04-18 16:38
BORLS,58044,143742,308652686,TERA,2026_01_01,2026-04-18 16:38
AHSGY,56792,57838,184999889,TERA,2026_01_01,2026-04-18 16:38
KRPLS,56690,140399,78486163,TERA,2026_01_01,2026-04-18 16:38
CELHA,53051,81961,146124228,TERA,2026_01_01,2026-04-18 16:38
SURGY,52222,54412,44999990,TERA,2026_01_01,2026-04-18 16:38
DZGYO,52000,211051,399777846,TERA,2026_01_01,2026-04-18 16:38
DMLKTG,50050,69772,2586309851,TERA,2026_01_01,2026-04-18 16:38
SELVA,49778,10468242,747897737,TERA,2026_01_01,2026-04-18 16:38
FLAP,48553,114517,93599986,TERA,2026_01_01,2026-04-18 16:38
SERNT,47546,247189,113000000,TERA,2026_01_01,2026-04-18 16:38
BERA,46451,78584,491444418,TERA,2026_01_01,2026-04-18 16:38
PENGD,46335,313191,171068945,TERA,2026_01_01,2026-04-18 16:38
MEKAG,45719,256398,240319999,TERA,2026_01_01,2026-04-18 16:38
CGCAM,42987,96288,42000000,TERA,2026_01_01,2026-04-18 16:38
ARZUM,42398,373507,293999828,TERA,2026_01_01,2026-04-18 16:38
TEKTU,42282,1049327,195639311,TERA,2026_01_01,2026-04-18 16:38
MZHLD,40833,440917,72215314,TERA,2026_01_01,2026-04-18 16:38
TCKRC,40701,521304,65000000,TERA,2026_01_01,2026-04-18 16:38
VKFYO,36994,58282,26473700,TERA,2026_01_01,2026-04-18 16:38
TCELL,36446,150818,1622604373,TERA,2026_01_01,2026-04-18 16:38
SEGYO,36094,280934,203388821,TERA,2026_01_01,2026-04-18 16:38
DOFER,35448,237550,19572500,TERA,2026_01_01,2026-04-18 16:38
ANELE,35019,95185,151405542,TERA,2026_01_01,2026-04-18 16:38
OSMEN,33450,131993,157750927,TERA,2026_01_01,2026-04-18 16:38
GSRAY,33278,47120030,10123744690,TERA,2026_01_01,2026-04-18 16:38
KFEIN,32524,129225,150306170,TERA,2026_01_01,2026-04-18 16:38
ZEDUR,29900,90804,69899992,TERA,2026_01_01,2026-04-18 16:38
PATEK,28895,403137,293081893,TERA,2026_01_01,2026-04-18 16:38
MNDTR,28158,1054760,910071938,TERA,2026_01_01,2026-04-18 16:38
DMSAS,25125,358982,199994510,TERA,2026_01_01,2026-04-18 16:38
TRGYO,25005,25484,251573369,TERA,2026_01_01,2026-04-18 16:38
TSGYO,23440,24677,266499982,TERA,2026_01_01,2026-04-18 16:38
ORGE,22535,29920,41839996,TERA,2026_01_01,2026-04-18 16:38
VESBE,21626,66428,503578676,TERA,2026_01_01,2026-04-18 16:38
ALTNY,21469,93476,399889404,TERA,2026_01_01,2026-04-18 16:38
