hisse,adet2,adet_fark,tks2,oran2,pp_fark,dolasim_pct,kurum,donem,tip,yukleme
ADESE,425974985,319787828,4687131701,9.0882,6.8227,6.8227,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PSGYO,93678544,66615698,2954231557,3.171,2.2549,2.2549,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
PEKGY,138416235,49638075,4685244947,2.9543,1.0595,1.0595,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SASA,86040450,24642692,25700436864,0.3348,0.0959,0.0959,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
RTALB,27832053,23151733,432976722,6.4281,5.3471,5.3471,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LIDER,20750842,16676124,279500000,7.4243,5.9664,5.9664,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
IHGZT,62848126,14652670,570666229,11.0131,2.5676,2.5676,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TSPOR,54297282,10356563,3674975253,1.4775,0.2818,0.2818,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ENTRA,16580631,10302101,369565717,4.4865,2.7876,2.7876,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SEGYO,9986432,7724239,203388821,4.91,3.7977,3.7978,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ESEN,10478278,7452017,682499950,1.5353,1.0919,1.0919,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DAPGM,28156827,6484090,911156364,3.0902,0.7116,0.7116,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
OSTIM,14218081,4594294,510651063,2.7843,0.8997,0.8997,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ISCTR,9213042,4209424,8880400759,0.1037,0.0474,0.0474,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ECOGR,3984797,3984797,110000000,3.6225,3.6225,3.6225,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
FONET,4293546,3682928,577082984,0.744,0.6382,0.6382,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DMRGD,7547522,3383465,159661824,4.7272,2.1192,2.1191,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
IMASM,14912662,3009636,622850499,2.3943,0.4832,0.4832,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
VAKBN,541432,2978233,8046896130,0.0067,0.037,0.037,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EYGYO,9258726,2759638,341859668,2.7083,0.8072,0.8072,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YESIL,7079392,2331872,640699952,1.1049,0.3639,0.364,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRDMD,1712950,2107167,780216362,0.2195,0.27,0.2701,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ISGYO,2629822,2089448,531312439,0.495,0.3933,0.3933,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AEFES,4824490,1933642,2028857873,0.2378,0.0953,0.0953,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KATMR,16882137,1745086,1980989998,0.8522,0.0881,0.0881,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
